,Photon Energy (eV),e1,e2,N,n,k
62,3.999282,5.103476027,8.569725838,(2.745699027514839+1.56057269062576j),2.745699028,1.560572691
63,3.978842,5.243853521,8.524674802,(2.7615443146324163+1.5434615256526063j),2.761544315,1.543461526
64,3.958611,5.380551354,8.474840661,(2.7766112219468067+1.5261122252955381j),2.776611222,1.526112225
65,3.938584,5.513330899,8.420678679,(2.790909516933211+1.5085904125277505j),2.790909517,1.508590413
66,3.918759,5.641997737,8.362665769,(2.8044542268837165+1.4909613587788269j),2.804454227,1.490961359
67,3.899132,5.766435497,8.30127852,(2.8172688089947315+1.4732847808433203j),2.817268809,1.473284781
68,3.8797,5.886585192,8.236992457,(2.829382450167401+1.455616658746466j),2.82938245,1.455616659
69,3.860462,6.002438031,8.170277839,(2.8408289682268695+1.4380094561239203j),2.840828968,1.438009456
70,3.841413,6.114068566,8.101570644,(2.8516496527830135+1.4205059579628416j),2.851649653,1.420505958
71,3.822551,6.221587924,8.031288703,(2.8618881963769036+1.4031450831982675j),2.861888196,1.403145083
72,3.803873,6.325162861,7.959810886,(2.8715921947307605+1.385957745167446j),2.871592195,1.385957745
73,3.785377,6.424998229,7.887478112,(2.8808110751698557+1.3689683055501007j),2.880811075,1.368968306
74,3.76706,6.521341096,7.814580161,(2.889596092014338+1.352192471264125j),2.889596092,1.352192471
75,3.748919,6.614467267,7.741354849,(2.8979986839491483+1.3356380891359922j),2.897998684,1.335638089
76,3.730952,6.704667964,7.667988706,(2.9060689044484262+1.3193060725194503j),2.906068904,1.319306073
77,3.713156,6.792251131,7.594606644,(2.9138551897567875+1.3031887566541642j),2.91385519,1.303188757
78,3.695529,6.877521983,7.521279197,(2.9214022968077984+1.287272075652345j),2.921402297,1.287272076
79,3.678069,6.960778493,7.448019043,(2.9287506311786062+1.2715352006497564j),2.928750631,1.271535201
80,3.660773,7.042306363,7.374778896,(2.9359355836140155+1.2559503923438142j),2.935935584,1.255950392
81,3.643639,7.122360078,7.301463717,(2.942985725050788+1.2404857514105723j),2.942985725,1.240485751
82,3.626665,7.201158905,7.227932105,(2.9499224200403247+1.2251054563340227j),2.94992242,1.225105456
83,3.609848,7.278883569,7.153999085,(2.956759612068014+1.2097701578090352j),2.956759612,1.209770158
84,3.593186,7.355660381,7.079453485,(2.963502628499124+1.1944402236831113j),2.963502628,1.194440224
85,3.576677,7.431560984,7.004063749,(2.9701484895508226+1.179076361555201j),2.97014849,1.179076362
86,3.560319,7.50659942,6.927588985,(2.9766861075795945+1.1636411658696588j),2.976686108,1.163641166
87,3.54411,7.580731485,6.849790561,(2.983096799503661+1.1481006184832356j),2.9830968,1.148100618
88,3.528048,7.65385649,6.770443711,(2.9893551032517944+1.1324254692854145j),2.989355103,1.132425469
89,3.512131,7.725821455,6.689348605,(2.9954298689792176+1.116592425407364j),2.995429869,1.116592425
90,3.496357,7.796427579,6.606340287,(3.0012855762785695+1.1005850858523332j),3.001285576,1.100585086
91,3.480724,7.865438669,6.521296973,(3.0068838119634336+1.0843945726944577j),3.006883812,1.084394573
92,3.46523,7.932591102,6.434146258,(3.0121848312377852+1.0680198291510554j),3.012184831,1.068019829
93,3.449874,7.997600569,6.344874857,(3.017148806826469+1.051468665090495j),3.017148807,1.051468665
94,3.434653,8.060186147,6.253512567,(3.021738295624849+1.0347541639306772j),3.021738296,1.034754164
95,3.419566,8.120064427,6.160154344,(3.0259182808515166+1.017898332314833j),3.025918281,1.017898332
96,3.404611,8.176972355,6.06493929,(3.02965825292057+1.0009279568580784j),3.029658253,1.000927957
97,3.389786,8.230671775,5.968050983,(3.0329327402827624+0.9838746016190835j),3.03293274,0.983874602
98,3.375089,8.280956583,5.86971059,(3.035721901033308+0.9667734366359261j),3.035721901,0.966773437
99,3.36052,8.327651785,5.7701828,(3.038011560488059+0.949664391457696j),3.03801156,0.949664391
100,3.346076,8.370633442,5.669733577,(3.0397941456707716+0.9325851201335064j),3.039794146,0.93258512
101,3.331756,8.409813526,5.568655543,(3.0410676520819315+0.9155757417869554j),3.041067652,0.915575742
102,3.317557,8.445151464,5.467232257,(3.041835776059945+0.8986731467369238j),3.041835776,0.898673147
103,3.303479,8.476639308,5.365766435,(3.0421070546389894+0.88191610930758j),3.042107055,0.881916109
104,3.289521,8.504310001,5.264545341,(3.041894650219844+0.8653398533092985j),3.04189465,0.865339853
105,3.27568,8.52823391,5.163827875,(3.041215443729949+0.8489743608899354j),3.041215444,0.848974361
106,3.261955,8.548506524,5.063869521,(3.040089409358952+0.8328487816265452j),3.040089409,0.832848782
107,3.248344,8.565249644,4.964897628,(3.038538876897592+0.816987675556392j),3.038538877,0.816987676
108,3.234847,8.578602873,4.86713122,(3.0365882107864635+0.8014144300264644j),3.036588211,0.80141443
109,3.221461,8.588724621,4.770743661,(3.0342625709374738+0.7861454883303427j),3.034262571,0.786145488
110,3.208186,8.595781897,4.675905822,(3.0315882462740076+0.7711973794664475j),3.031588246,0.771197379
111,3.19502,8.599950808,4.582750372,(3.028591398066647+0.7565811577065339j),3.028591398,0.756581158
112,3.181961,8.601410971,4.491387277,(3.0252979377374984+0.742304951405505j),3.025297938,0.742304951
113,3.169009,8.600342973,4.401918863,(3.0217337875369847+0.7283763515104826j),3.021733788,0.728376352
114,3.156162,8.596926318,4.314413356,(3.017923612774627+0.7147983033833347j),3.017923613,0.714798303
115,3.143419,8.59133713,4.22892752,(3.0138913897113726+0.7015726469888335j),3.01389139,0.701572647
116,3.130779,8.583746706,4.145501369,(3.0096600146324257+0.6886992798203239j),3.009660015,0.68869928
117,3.11824,8.574319404,4.064153517,(3.0052508393643085+0.6761754232936411j),3.005250839,0.676175423
118,3.1058,8.563211977,3.984889816,(3.000683905861598+0.6639969321441188j),3.000683906,0.663996932
119,3.09346,8.550576259,3.90772363,(2.9959790896528014+0.652161365817837j),2.99597909,0.652161366
120,3.081218,8.536553373,3.83263917,(2.991153887617377+0.6406623186420454j),2.991153888,0.640662319
121,3.069072,8.521275643,3.759612598,(2.986224474942065+0.629492630206313j),2.986224475,0.62949263
122,3.057022,8.504869448,3.688625028,(2.9812065894487656+0.6186463295412907j),2.981206589,0.61864633
123,3.045066,8.487450283,3.619639679,(2.976113952839305+0.6081151018268851j),2.976113953,0.608115102
124,3.033204,8.469128368,3.552626515,(2.9709599849354777+0.5978920168988273j),2.970959985,0.597892017
125,3.021433,8.450001427,3.487534653,(2.9657557135480332+0.5879672822440749j),2.965755714,0.587967282
126,3.009754,8.430166013,3.424332451,(2.960512895372746+0.5783343245187569j),2.960512895,0.578334325
127,2.998165,8.409706682,3.362969234,(2.9552410029611007+0.5689839221838556j),2.955241003,0.568983922
128,2.986665,8.388702801,3.30339817,(2.949949049473227+0.5599076652414401j),2.949949049,0.559907665
129,2.975252,8.367225438,3.245566219,(2.9446447454980396+0.5510963970151032j),2.944644745,0.551096397
130,2.963927,8.345345341,3.18943476,(2.939336423335554+0.5425433329456127j),2.939336423,0.542543333
131,2.952688,8.323122026,3.134949582,(2.934030305879472+0.5342394684005267j),2.934030306,0.534239468
132,2.941534,8.300611638,3.082061608,(2.9287324176136553+0.5261767154088494j),2.928732418,0.526176715
133,2.930464,8.277865466,3.030722045,(2.9234481749094963+0.5183471475238955j),2.923448175,0.518347148
134,2.919477,8.254930297,2.980882619,(2.918182435834657+0.5107430196894652j),2.918182436,0.51074302
135,2.908572,8.231848752,2.932495761,(2.9129395468273196+0.5033567833566783j),2.912939547,0.503356783
136,2.897749,8.208661764,2.885519055,(2.907723868590997+0.496181753437742j),2.907723869,0.496181753
137,2.887006,8.185402451,2.839902294,(2.90253837073087+0.4892101207532367j),2.902538371,0.489210121
138,2.876342,8.162102777,2.795600828,(2.897386112919884+0.4824349808088524j),2.897386113,0.482434981
139,2.865757,8.138793912,2.752575173,(2.8922702827258564+0.4758502671547272j),2.892270283,0.475850267
140,2.85525,8.115502105,2.710782764,(2.8871932602177464+0.4694494825754416j),2.88719326,0.469449483
141,2.84482,8.092251067,2.670182276,(2.8821571298863806+0.4632263537091768j),2.88215713,0.463226354
142,2.834466,8.069062178,2.630733649,(2.8771637077840113+0.4571748284773038j),2.877163708,0.457174828
143,2.824187,8.045954689,2.592398095,(2.872214566398081+0.4512890724585758j),2.872214566,0.451289072
144,2.813982,8.022945899,2.555138097,(2.8673110574196063+0.4455634644297973j),2.867311057,0.445563464
145,2.803851,8.000053587,2.518920936,(2.862454811273979+0.43999313557088915j),2.862454811,0.439993136
146,2.793793,7.977291647,2.483711383,(2.857646794539859+0.4345728429136429j),2.857646795,0.434572843
147,2.783807,7.954672473,2.449475447,(2.8528878093521852+0.4292975417652496j),2.852887809,0.429297542
148,2.773893,7.932209363,2.416183671,(2.848178983481952+0.42416289224912374j),2.848178983,0.424162892
149,2.764048,7.909907564,2.383797742,(2.84351988659869+0.4191631916051613j),2.843519887,0.419163192
150,2.754274,7.887782513,2.35229699,(2.838912334412318+0.4142954611501767j),2.838912334,0.414295461
151,2.744569,7.86583954,2.321648576,(2.8343561369063615+0.40955484490373817j),2.834356137,0.409554845
152,2.734932,7.84408529,2.291824084,(2.8298514800323+0.40493716716553163j),2.82985148,0.404937167
153,2.725362,7.822525544,2.262796153,(2.8253984616590966+0.4004384132008767j),2.825398462,0.400438413
154,2.71586,7.801169788,2.234544337,(2.820998024695841+0.39605563666483434j),2.820998025,0.396055637
155,2.706423,7.780017785,2.207037171,(2.8166491843129293+0.3917841779525595j),2.816649184,0.391784178
156,2.697052,7.759077624,2.180255926,(2.8123527400833725+0.38762134903652634j),2.81235274,0.387621349
157,2.687747,7.738354518,2.154179581,(2.808108961185006+0.3835641014871216j),2.808108961,0.383564101
158,2.678505,7.717846459,2.128779632,(2.803916699321976+0.3796082160054106j),2.803916699,0.379608216
159,2.669326,7.697557636,2.104036873,(2.799776131048494+0.3757509126185041j),2.799776131,0.375750913
160,2.660211,7.677493953,2.079935334,(2.7956878307137103+0.371989910911856j),2.795687831,0.371989911
161,2.651158,7.657654276,2.05645174,(2.7916509832539824+0.3683217838200482j),2.791650983,0.368321784
162,2.642166,7.638039319,2.033566307,(2.7876651955203604+0.36474364101397666j),2.787665196,0.364743641
163,2.633235,7.618651632,2.011262465,(2.7837304871204807+0.3612530872531426j),2.783730487,0.361253087
164,2.624365,7.599493425,1.989524171,(2.779846843862635+0.35784780296707136j),2.779846844,0.357847803
165,2.615554,7.580562309,1.968331123,(2.776013353362452+0.35452479370016304j),2.776013353,0.354524794
166,2.606803,7.56186209,1.947670874,(2.7722303902383483+0.35128228899264174j),2.77223039,0.351282289
167,2.598109,7.54338779,1.927522083,(2.7684965803145842+0.3481171146785444j),2.76849658,0.348117115
168,2.589475,7.525146971,1.907877884,(2.764813111687995+0.3450283630020364j),2.764813112,0.345028363
169,2.580897,7.507132169,1.888715841,(2.7611781610285244+0.342012671906811j),2.761178161,0.342012672
170,2.572376,7.489346321,1.870025442,(2.7575920292599343+0.33906854640987943j),2.757592029,0.339068546
171,2.563911,7.471787989,1.851792129,(2.7540541556334794+0.33619384803834484j),2.754054156,0.336193848
172,2.555503,7.454459725,1.834006059,(2.7505648026257736+0.33338717504611953j),2.750564803,0.333387175
173,2.547149,7.437355706,1.816649356,(2.747122564496496+0.3306458509832071j),2.747122564,0.330645851
174,2.53885,7.420478232,1.799713017,(2.743727688665657+0.3279685925474634j),2.743727689,0.327968593
175,2.530605,7.40382539,1.783184236,(2.740379589903887+0.32535350983880196j),2.74037959,0.32535351
176,2.522414,7.387397199,1.767052609,(2.7370780860394976+0.3227990860197855j),2.737078086,0.322799086
177,2.514275,7.371189594,1.75130419,(2.73382218832628+0.3203032365096347j),2.733822188,0.320303237
178,2.506189,7.355204431,1.735931234,(2.7306121101186855+0.31786485300659223j),2.73061211,0.317864853
