Energy (eV),Wavelength (nm),n,k,e1,e2
3.999282,310.055695,1.485331,0,2.206208,0
3.978842,311.648438,1.484954,0,2.205089,0
3.958611,313.24118,1.484576,0,2.203967,0
3.938584,314.833954,1.484199,0,2.202847,0
3.918759,316.426727,1.483822,0,2.201729,0
3.899132,318.019501,1.483444,0,2.200607,0
3.8797,319.612305,1.483067,0,2.199486,0
3.860462,321.205109,1.482689,0,2.198368,0
3.841413,322.797913,1.482311,0,2.197247,0
3.822551,324.390686,1.481934,0,2.196127,0
3.803873,325.983521,1.481555,0,2.195004,0
3.785377,327.576355,1.481177,0,2.193885,0
3.76706,329.169189,1.480803,0,2.192777,0
3.748919,330.762024,1.480459,0,2.191758,0
3.730952,332.354858,1.48017,0,2.190903,0
3.713156,333.947693,1.479891,0,2.190076,0
3.695529,335.540558,1.479611,0,2.189249,0
3.678069,337.133392,1.479331,0,2.188421,0
3.660773,338.726257,1.479052,0,2.187594,0
3.643639,340.319092,1.478772,0,2.186767,0
3.626665,341.911957,1.478493,0,2.185942,0
3.609848,343.504822,1.478213,0,2.185115,0
3.593186,345.097687,1.477933,0,2.184287,0
3.576677,346.690552,1.477654,0,2.18346,0
3.560319,348.283386,1.477373,0,2.182632,0
3.54411,349.876282,1.477094,0,2.181806,0
3.528048,351.469147,1.476813,0,2.180978,0
3.512131,353.061981,1.476534,0,2.180152,0
3.496357,354.654846,1.476255,0,2.179327,0
3.480724,356.247742,1.475974,0,2.1785,0
3.46523,357.840576,1.475693,0,2.17767,0
3.449874,359.433411,1.475414,0,2.176847,0
3.434653,361.026306,1.475152,0,2.176072,0
3.419566,362.619141,1.474929,0,2.175415,0
3.404611,364.211975,1.474728,0,2.174822,0
3.389786,365.80484,1.474527,0,2.174228,0
3.375089,367.397675,1.474325,0,2.173635,0
3.36052,368.990509,1.474125,0,2.173044,0
3.346076,370.583313,1.473924,0,2.172451,0
3.331756,372.176147,1.473722,0,2.171856,0
3.317557,373.768982,1.473521,0,2.171264,0
3.303479,375.361786,1.47332,0,2.17067,0
3.289521,376.95459,1.473118,0,2.170077,0
3.27568,378.547394,1.472917,0,2.169485,0
3.261955,380.140198,1.472716,0,2.168893,0
3.248344,381.732971,1.472515,0,2.168301,0
3.234847,383.325745,1.472314,0,2.167707,0
3.221461,384.918518,1.472113,0,2.167116,0
3.208186,386.511261,1.471911,0,2.166523,0
3.19502,388.104004,1.47171,0,2.165929,0
3.181961,389.696747,1.471508,0,2.165336,0
3.169009,391.28949,1.471307,0,2.164744,0
3.156162,392.882202,1.471105,0,2.164151,0
3.143419,394.474915,1.470904,0,2.163559,0
3.130779,396.067596,1.470703,0,2.162967,0
3.11824,397.660278,1.470502,0,2.162375,0
3.1058,399.25296,1.4703,0,2.161782,0
3.09346,400.845612,1.470097,0,2.161186,0
3.081218,402.438232,1.469896,0,2.160595,0
3.069072,404.030884,1.4697,0,2.160018,0
3.057022,405.623474,1.469523,0,2.159499,0
3.045066,407.216095,1.469374,0,2.15906,0
3.033204,408.808655,1.469224,0,2.158621,0
3.021433,410.401276,1.469075,0,2.158181,0
3.009754,411.993805,1.468925,0,2.157742,0
2.998165,413.586334,1.468777,0,2.157305,0
2.986665,415.178864,1.468627,0,2.156864,0
2.975252,416.771393,1.468478,0,2.156427,0
2.963927,418.363861,1.468328,0,2.155986,0
2.952688,419.95636,1.468178,0,2.155548,0
2.941534,421.548767,1.468029,0,2.155109,0
2.930464,423.141205,1.467879,0,2.154669,0
2.919477,424.733643,1.467729,0,2.154229,0
2.908572,426.326019,1.46758,0,2.153792,0
2.897749,427.918396,1.46743,0,2.153352,0
2.887006,429.510803,1.467281,0,2.152913,0
2.876342,431.103119,1.467131,0,2.152474,0
2.865757,432.695404,1.466982,0,2.152035,0
2.85525,434.287689,1.466833,0,2.151601,0
2.84482,435.879974,1.466691,0,2.151182,0
2.834466,437.472229,1.466564,0,2.150811,0
2.824187,439.064453,1.466445,0,2.150461,0
2.813982,440.656677,1.466326,0,2.150113,0
2.803851,442.24884,1.466206,0,2.149761,0
2.793793,443.841003,1.466087,0,2.149412,0
2.783807,445.433167,1.465968,0,2.149061,0
2.773893,447.025238,1.465849,0,2.148712,0
2.764048,448.61734,1.465729,0,2.14836,0
2.754274,450.209381,1.46561,0,2.148014,0
2.744569,451.801422,1.465491,0,2.147663,0
2.734932,453.393402,1.465371,0,2.147314,0
2.725362,454.985413,1.465252,0,2.146964,0
2.71586,456.577332,1.465132,0,2.146612,0
2.706423,458.169281,1.465012,0,2.14626,0
2.697052,459.761169,1.464893,0,2.145911,0
2.687747,461.353027,1.464774,0,2.145563,0
2.678505,462.944885,1.464654,0,2.145211,0
2.669326,464.536713,1.464535,0,2.144864,0
2.660211,466.128479,1.464416,0,2.144514,0
2.651158,467.720215,1.464302,0,2.144181,0
2.642166,469.311951,1.4642,0,2.143883,0
2.633235,470.903656,1.464107,0,2.143608,0
2.624365,472.4953,1.464011,0,2.143329,0
2.615554,474.086914,1.463918,0,2.143055,0
2.606803,475.678528,1.463823,0,2.142779,0
2.598109,477.270111,1.463729,0,2.142502,0
2.589475,478.861633,1.463634,0,2.142224,0
2.580897,480.453125,1.463539,0,2.141948,0
2.572376,482.044586,1.463446,0,2.141673,0
2.563911,483.636047,1.463351,0,2.141397,0
2.555503,485.227386,1.463257,0,2.14112,0
2.547149,486.818787,1.463163,0,2.140845,0
2.53885,488.410095,1.463068,0,2.140568,0
2.530605,490.001404,1.462974,0,2.140293,0
2.522414,491.592621,1.462879,0,2.140016,0
2.514275,493.183899,1.462784,0,2.139738,0
2.506189,494.775055,1.462691,0,2.139465,0
2.498156,496.366211,1.462596,0,2.139187,0
2.490174,497.957275,1.462501,0,2.138911,0
2.482242,499.548401,1.462408,0,2.138636,0
2.474361,501.139404,1.462313,0,2.138359,0
2.466531,502.730377,1.462218,0,2.138082,0
2.45875,504.32135,1.462124,0,2.137805,0
2.451018,505.912262,1.46203,0,2.137531,0
2.443335,507.503113,1.461936,0,2.137258,0
2.4357,509.093933,1.461848,0,2.137,0
2.428112,510.684753,1.46177,0,2.136771,0
2.420573,512.275513,1.461694,0,2.136551,0
2.41308,513.866211,1.461619,0,2.136329,0
2.405633,515.456909,1.461543,0,2.136108,0
2.398232,517.047485,1.461467,0,2.135885,0
2.390877,518.638062,1.461391,0,2.135664,0
2.383568,520.228638,1.461315,0,2.135442,0
2.376302,521.819092,1.461239,0,2.13522,0
2.369082,523.409546,1.461163,0,2.134997,0
2.361905,524.999939,1.461087,0,2.134776,0
2.354772,526.590332,1.461012,0,2.134555,0
2.347682,528.180603,1.460936,0,2.134333,0
2.340634,529.770874,1.46086,0,2.134113,0
2.333629,531.361145,1.460784,0,2.13389,0
2.326667,532.951294,1.460708,0,2.133669,0
2.319746,534.541382,1.460632,0,2.133446,0
2.312865,536.13147,1.460556,0,2.133224,0
2.306026,537.721558,1.460481,0,2.133004,0
2.299228,539.311523,1.460405,0,2.132782,0
2.292469,540.901489,1.460328,0,2.132557,0
2.285751,542.491333,1.460253,0,2.132338,0
2.279072,544.081177,1.460177,0,2.132116,0
2.272432,545.671021,1.460102,0,2.131898,0
2.265831,547.260681,1.460034,0,2.131699,0
2.259268,548.850403,1.45997,0,2.131514,0
