Energy (eV),e1,e2
5.867289,1.535451,5.507817
5.82344,1.538754,5.602505
5.780241,1.519422,5.665781
5.737676,1.49936,5.758031
5.695733,1.503903,5.849849
5.654397,1.498765,5.957762
5.613657,1.511056,6.096935
5.573499,1.581245,6.213412
5.533911,1.646255,6.341211
5.49488,1.716635,6.45535
5.456395,1.815871,6.512362
5.418444,1.907168,6.563531
5.381018,1.995356,6.622874
5.344104,2.049387,6.673054
5.307692,2.070931,6.743639
5.271772,2.110269,6.80978
5.236335,2.123849,6.910075
5.201371,2.148352,7.032769
5.166869,2.210664,7.171984
5.132822,2.277214,7.34201
5.09922,2.377972,7.510252
5.066054,2.519471,7.674624
5.033317,2.632578,7.840281
5.000999,2.77089,8.018528
4.969093,2.935674,8.217191
4.937592,3.123967,8.409103
4.906486,3.369363,8.599931
4.87577,3.67691,8.762738
4.845435,3.996714,8.901776
4.815475,4.39114,8.946116
4.785883,4.815017,8.971436
4.756652,5.195199,8.889688
4.727775,5.588861,8.765491
4.699246,5.868395,8.589902
4.67106,6.183717,8.384311
4.643209,6.379769,8.167822
4.615688,6.544951,7.94524
4.588491,6.67155,7.767694
4.561612,6.736339,7.554214
4.535046,6.764109,7.383796
4.508787,6.846404,7.250655
4.48283,6.943528,7.179226
4.45717,7.045818,7.152422
4.431802,7.169642,7.060524
4.406721,7.3303,6.96278
4.381921,7.467265,6.811138
4.357399,7.662394,6.644484
4.33315,7.773607,6.438049
4.309169,7.834884,6.194534
4.285452,7.873312,6.003289
4.261994,7.8734,5.815507
4.238791,7.800695,5.687176
4.215839,7.790857,5.60895
4.193135,7.823222,5.594858
4.170673,7.901325,5.560206
4.148451,8.033872,5.513101
4.126463,8.181169,5.340807
4.104708,8.273026,5.180523
4.083181,8.356893,4.977328
4.061878,8.404601,4.761289
4.040796,8.351319,4.538844
4.019931,8.361452,4.368048
3.999282,8.313883,4.197204
3.978842,8.228266,4.053482
3.958611,8.163115,3.95069
3.938584,8.07089,3.823762
3.918759,8.036186,3.720266
3.899132,7.96513,3.605199
3.8797,7.893753,3.550027
3.860462,7.862036,3.47935
3.841413,7.787072,3.427078
3.822551,7.736992,3.376663
3.803873,7.68858,3.326385
3.785377,7.600817,3.247533
3.76706,7.572472,3.209557
3.748919,7.544821,3.166646
3.730952,7.521629,3.153007
3.713156,7.444127,3.119766
3.695529,7.410924,3.111226
3.678069,7.367062,3.062727
3.660773,7.344518,3.018718
3.643639,7.282822,2.988706
3.626665,7.260589,2.972067
3.609848,7.269431,2.961375
