Energy (eV),e1,e2
5.867289,-1.891812,5.35884
5.82344,-1.999825,5.521785
5.780241,-2.126505,5.704811
5.737676,-2.215771,5.910767
5.695733,-2.308473,6.123212
5.654397,-2.374084,6.373466
5.613657,-2.463052,6.606287
5.573499,-2.556124,6.866598
5.533911,-2.619176,7.143664
5.49488,-2.662649,7.494483
5.456395,-2.657378,7.888081
5.418444,-2.605982,8.317411
5.381018,-2.474823,8.735888
5.344104,-2.296314,9.140128
5.307692,-2.031874,9.575939
5.271772,-1.714579,9.914491
5.236335,-1.370923,10.239692
5.201371,-0.995533,10.506609
5.166869,-0.580073,10.724516
5.132822,-0.138823,10.876449
5.09922,0.296517,11.025971
5.066054,0.74822,11.073559
5.033317,1.199789,11.057579
5.000999,1.604334,10.979438
4.969093,1.989782,10.861196
4.937592,2.299848,10.656888
4.906486,2.594148,10.477319
4.87577,2.825965,10.324697
4.845435,3.003602,10.13556
4.815475,3.144324,9.93489
4.785883,3.292651,9.743128
4.756652,3.407219,9.609991
4.727775,3.487906,9.463979
4.699246,3.537279,9.305703
4.67106,3.601475,9.223095
4.643209,3.670537,9.076592
4.615688,3.639439,8.982062
4.588491,3.697271,8.864561
4.561612,3.699501,8.828748
4.535046,3.706251,8.738161
4.508787,3.731851,8.654949
4.48283,3.726427,8.61833
4.45717,3.754683,8.566641
4.431802,3.721721,8.556162
4.406721,3.68841,8.529795
4.381921,3.728766,8.506132
4.357399,3.702464,8.455555
4.33315,3.702811,8.464973
4.309169,3.703664,8.461873
4.285452,3.688937,8.424262
4.261994,3.700227,8.47532
4.238791,3.674963,8.481978
4.215839,3.678165,8.500605
4.193135,3.674971,8.550265
4.170673,3.634439,8.542112
4.148451,3.637622,8.6441
4.126463,3.57259,8.68233
4.104708,3.539735,8.764914
4.083181,3.557757,8.820809
4.061878,3.479603,8.932212
4.040796,3.421648,9.081111
4.019931,3.367258,9.281116
3.999282,3.413844,9.476669
3.978842,3.410148,9.800095
3.958611,3.53926,10.047969
3.938584,3.755866,10.329165
3.918759,3.962457,10.518939
3.899132,4.266055,10.69909
3.8797,4.602891,10.736378
3.860462,4.866518,10.75136
3.841413,5.116948,10.75608
3.822551,5.398551,10.680178
3.803873,5.61899,10.668728
3.785377,5.787415,10.580957
3.76706,5.957909,10.493075
3.748919,6.129373,10.448643
3.730952,6.212073,10.331455
3.713156,6.346654,10.208205
3.695529,6.450779,10.163433
3.678069,6.494631,10.024196
3.660773,6.599871,9.976542
3.643639,6.693296,9.876412
3.626665,6.753886,9.84358
3.609848,6.800354,9.76611
3.593186,6.833012,9.688164
3.576677,6.85533,9.664165
3.560319,6.914211,9.585478
3.54411,6.885206,9.499958
3.528048,6.885053,9.536693
3.512131,6.863515,9.501257
3.496357,6.832516,9.474582
3.480724,6.807274,9.488689
3.46523,6.762444,9.573444
3.449874,6.596674,9.613799
3.434653,6.510687,9.727588
3.419566,6.416723,9.902921
3.404611,6.426288,10.202204
3.389786,6.398035,10.551472
3.375089,6.518871,10.992002
3.36052,6.854177,11.38197
3.346076,7.258043,11.704569
3.331756,7.733525,11.875826
3.317557,8.187797,12.010442
3.303479,8.649244,12.030637
3.289521,9.107283,11.966699
3.27568,9.559142,11.784169
3.261955,9.908905,11.662734
3.248344,10.203817,11.391373
3.234847,10.525927,11.159903
3.221461,10.705741,10.939736
3.208186,11.012421,10.75499
3.19502,11.196979,10.577147
3.181961,11.408604,10.368299
3.169009,11.554935,10.089708
3.156162,11.682683,9.898135
3.143419,11.807477,9.68954
3.130779,11.909707,9.459922
3.11824,11.995112,9.278453
3.1058,12.105317,9.128633
3.09346,12.176122,8.934587
3.081218,12.221237,8.715528
3.069072,12.314835,8.580582
3.057022,12.359633,8.412308
3.045066,12.466534,8.253091
3.033204,12.46248,8.029488
3.021433,12.538372,7.918396
3.009754,12.551397,7.754064
2.998165,12.602233,7.610663
2.986665,12.604857,7.415207
2.975252,12.695346,7.33223
2.963927,12.683331,7.117178
2.952688,12.710854,7.010972
2.941534,12.713685,6.918876
2.930464,12.776118,6.765871
2.919477,12.780895,6.587679
2.908572,12.788029,6.435014
2.897749,12.788473,6.304408
2.887006,12.844937,6.163765
2.876342,12.846161,6.045995
2.865757,12.893732,5.94142
2.85525,12.829294,5.78772
2.84482,12.882743,5.683424
2.834466,12.865201,5.601932
2.824187,12.915994,5.469494
2.813982,12.83462,5.301635
2.803851,12.846782,5.188001
2.793793,12.862854,5.080435
2.783807,12.838445,4.981781
2.773893,12.849335,4.829252
2.764048,12.873631,4.7488
2.754274,12.802476,4.632712
2.744569,12.841372,4.525585
2.734932,12.833412,4.40122
2.725362,12.810491,4.270901
2.71586,12.770827,4.181824
2.706423,12.729689,4.066286
2.697052,12.738107,4.002217
2.687747,12.680338,3.88241
2.678505,12.680006,3.751968
2.669326,12.686288,3.64234
2.660211,12.621228,3.559125
2.651158,12.596581,3.469688
2.642166,12.579994,3.341591
2.633235,12.54049,3.273924
2.624365,12.489946,3.185106
2.615554,12.45141,3.108304
2.606803,12.395884,3.003942
2.598109,12.337321,2.901275
2.589475,12.343994,2.837185
2.580897,12.276502,2.74313
2.572376,12.244404,2.673213
2.563911,12.182631,2.577702
2.555503,12.110929,2.508397
2.547149,12.067988,2.457112
2.53885,12.047003,2.392763
2.530605,12.003465,2.330336
2.522414,11.96225,2.267253
2.514275,11.885961,2.154714
2.506189,11.870001,2.089791
2.498156,11.812518,2.046967
2.490174,11.769619,1.97725
2.482242,11.707581,1.924516
2.474361,11.66333,1.868567
2.466531,11.633644,1.837685
2.45875,11.551371,1.788037
2.451018,11.477907,1.714791
2.443335,11.452103,1.658032
2.4357,11.395606,1.56845
2.428112,11.334963,1.553444
2.420573,11.23496,1.553753
2.41308,11.198255,1.48109
2.405633,11.152127,1.415843
2.398232,11.064348,1.391116
2.390877,11.010776,1.380428
2.383568,10.959378,1.355255
2.376302,10.875462,1.345475
2.369082,10.830093,1.316181
2.361905,10.782411,1.299065
2.354772,10.729185,1.272378
2.347682,10.664147,1.243064
2.340634,10.624566,1.238263
2.333629,10.589494,1.213132
2.326667,10.541715,1.207626
2.319746,10.487559,1.20289
2.312865,10.440939,1.187997
2.306026,10.399867,1.169599
2.299228,10.381181,1.15507
2.292469,10.346635,1.143952
2.285751,10.312606,1.135734
2.279072,10.260306,1.144499
2.272432,10.219615,1.11633
2.265831,10.188926,1.125529
2.259268,10.130492,1.107552
2.252743,10.107501,1.123042
2.246256,10.088633,1.110453
2.239807,10.038073,1.11838
2.233395,10.020353,1.112301
2.227019,9.969145,1.103299
2.22068,9.971629,1.10006
2.214378,9.929576,1.076373
2.208111,9.909917,1.085345
2.20188,9.892456,1.084488
2.195684,9.867329,1.076456
2.189523,9.835808,1.064907
2.183396,9.805966,1.062123
2.177305,9.778163,1.061316
2.171247,9.759201,1.061774
