Energy (eV),e1,e2
5.867289,-0.842485,6.520132
5.82344,-0.783909,6.731577
5.780241,-0.666106,6.941752
5.737676,-0.557554,7.179386
5.695733,-0.40185,7.332901
5.654397,-0.191054,7.539903
5.613657,-0.013643,7.685028
5.573499,0.226935,7.784297
5.533911,0.442846,7.891449
5.49488,0.651861,7.962365
5.456395,0.860693,8.002471
5.418444,1.071832,8.026953
5.381018,1.273118,8.032748
5.344104,1.445459,8.028224
5.307692,1.610158,8.00673
5.271772,1.767782,7.988039
5.236335,1.913087,7.956778
5.201371,2.045348,7.901826
5.166869,2.183124,7.881084
5.132822,2.298165,7.835388
5.09922,2.392709,7.801157
5.066054,2.490131,7.766528
5.033317,2.558204,7.710041
5.000999,2.634995,7.659032
4.969093,2.704643,7.644745
4.937592,2.763662,7.616057
4.906486,2.800959,7.585465
4.87577,2.849517,7.550786
4.845435,2.919116,7.557528
4.815475,2.959773,7.534918
4.785883,3.001398,7.502691
4.756652,3.054393,7.492636
4.727775,3.097682,7.466642
4.699246,3.152251,7.488481
4.67106,3.179781,7.495623
4.643209,3.19817,7.50556
4.615688,3.245475,7.474446
4.588491,3.275835,7.484889
4.561612,3.277481,7.504263
4.535046,3.314591,7.527612
4.508787,3.325781,7.503884
4.48283,3.387703,7.575125
4.45717,3.408193,7.599538
4.431802,3.43547,7.611966
4.406721,3.462437,7.649357
4.381921,3.508177,7.70575
4.357399,3.55813,7.708584
4.33315,3.559835,7.747633
4.309169,3.645791,7.782396
4.285452,3.670458,7.827056
4.261994,3.740576,7.873175
4.238791,3.801763,7.962497
4.215839,3.833304,8.00606
4.193135,3.897755,8.091117
4.170673,3.969161,8.137245
4.148451,4.061183,8.19935
4.126463,4.158175,8.299519
4.104708,4.216766,8.368752
4.083181,4.330175,8.412815
4.061878,4.419877,8.47252
4.040796,4.562554,8.540371
4.019931,4.657946,8.582515
3.999282,4.824418,8.61137
3.978842,4.945283,8.636454
3.958611,5.080216,8.688054
3.938584,5.207231,8.663063
3.918759,5.353785,8.677791
3.899132,5.450721,8.727055
3.8797,5.582265,8.665907
3.860462,5.731359,8.671644
3.841413,5.804013,8.622347
3.822551,5.923406,8.666838
3.803873,6.011418,8.598624
3.785377,6.118474,8.513646
3.76706,6.188385,8.544645
3.748919,6.271571,8.49088
3.730952,6.34935,8.480334
3.713156,6.451146,8.491154
3.695529,6.546774,8.453341
3.678069,6.680525,8.439913
3.660773,6.705206,8.409206
3.643639,6.839634,8.444525
3.626665,6.895318,8.43416
3.609848,6.951,8.428881
3.593186,7.086775,8.3969
3.576677,7.130125,8.350929
3.560319,7.223454,8.418568
3.54411,7.368024,8.404672
3.528048,7.455785,8.356826
3.512131,7.597206,8.389811
3.496357,7.71382,8.350464
3.480724,7.813419,8.308757
3.46523,7.949846,8.313999
3.449874,8.075806,8.30666
3.434653,8.180471,8.283496
3.419566,8.299915,8.168946
3.404611,8.482347,8.10208
3.389786,8.629469,8.068236
3.375089,8.704123,7.940338
3.36052,8.825364,7.877012
3.346076,8.928903,7.795754
3.331756,9.061421,7.734726
3.317557,9.149751,7.659361
3.303479,9.245112,7.556963
3.289521,9.323782,7.400715
3.27568,9.396608,7.336957
3.261955,9.468124,7.225915
3.248344,9.54532,7.137121
3.234847,9.700356,7.020278
3.221461,9.725461,6.951382
3.208186,9.785128,6.820016
3.19502,9.850133,6.70234
3.181961,9.914659,6.640026
3.169009,9.964939,6.516604
3.156162,10.029997,6.470677
3.143419,10.112637,6.355441
3.130779,10.101542,6.256621
3.11824,10.140938,6.156954
3.1058,10.166414,6.049408
3.09346,10.23871,5.952417
3.081218,10.26351,5.853475
3.069072,10.276703,5.787109
3.057022,10.299971,5.671473
3.045066,10.336921,5.591184
3.033204,10.390288,5.501327
3.021433,10.417968,5.409031
3.009754,10.413635,5.330853
2.998165,10.459786,5.254124
2.986665,10.487041,5.147129
2.975252,10.467544,5.07452
2.963927,10.473651,4.990089
2.952688,10.534792,4.871875
2.941534,10.534802,4.777243
2.930464,10.575179,4.695531
2.919477,10.590192,4.638131
2.908572,10.574835,4.530345
2.897749,10.596399,4.424848
2.887006,10.648533,4.390749
2.876342,10.665321,4.264547
2.865757,10.661831,4.201554
2.85525,10.658275,4.136205
2.84482,10.677066,4.043962
2.834466,10.680277,3.939981
2.824187,10.675221,3.858169
2.813982,10.685018,3.777855
2.803851,10.696131,3.693597
2.793793,10.686114,3.615538
2.783807,10.692621,3.543631
2.773893,10.696591,3.462718
2.764048,10.708867,3.373565
2.754274,10.684001,3.270648
2.744569,10.660308,3.190252
2.734932,10.671351,3.114011
2.725362,10.613057,3.031884
2.71586,10.640804,2.930539
2.706423,10.598498,2.873672
2.697052,10.623137,2.801269
2.687747,10.591683,2.699167
2.678505,10.560153,2.640378
2.669326,10.528131,2.519753
2.660211,10.505606,2.476709
2.651158,10.457638,2.405602
2.642166,10.423168,2.330411
2.633235,10.377393,2.237199
2.624365,10.36041,2.170003
2.615554,10.293534,2.123226
2.606803,10.321541,2.06936
2.598109,10.221258,1.98195
2.589475,10.219235,1.914889
2.580897,10.128305,1.862509
2.572376,10.062829,1.818228
2.563911,10.000504,1.767283
2.555503,10.00639,1.715846
2.547149,9.95522,1.664563
2.53885,9.883449,1.614831
2.530605,9.810392,1.572747
2.522414,9.752816,1.563659
2.514275,9.709138,1.519423
2.506189,9.657399,1.473928
2.498156,9.62579,1.483668
2.490174,9.548913,1.460521
2.482242,9.519623,1.430906
2.474361,9.464749,1.42388
2.466531,9.411171,1.388454
2.45875,9.378158,1.360471
2.451018,9.335808,1.345217
2.443335,9.281345,1.339809
2.4357,9.260416,1.339107
2.428112,9.232861,1.325045
2.420573,9.177421,1.313708
2.41308,9.166752,1.301908
2.405633,9.106384,1.300522
2.398232,9.07067,1.284938
2.390877,9.056158,1.271128
2.383568,9.045408,1.25961
2.376302,9.004354,1.255594
2.369082,8.97294,1.256829
2.361905,8.924123,1.265946
2.354772,8.915696,1.24597
2.347682,8.892705,1.239434
2.340634,8.865127,1.232493
2.333629,8.843537,1.228891
2.326667,8.836876,1.227521
2.319746,8.792401,1.235726
2.312865,8.782073,1.214633
2.306026,8.791328,1.213337
2.299228,8.740993,1.20791
2.292469,8.715343,1.207996
2.285751,8.720421,1.196943
2.279072,8.685837,1.191959
2.272432,8.673513,1.18434
2.265831,8.634458,1.189138
2.259268,8.632806,1.17408
2.252743,8.620023,1.17666
2.246256,8.606704,1.171088
2.239807,8.589127,1.16053
2.233395,8.588222,1.155512
2.227019,8.574084,1.142173
2.22068,8.55114,1.142114
2.214378,8.550754,1.140007
2.208111,8.519282,1.130056
2.20188,8.510371,1.115976
2.195684,8.505273,1.115656
2.189523,8.504338,1.098005
2.183396,8.49247,1.100401
2.177305,8.454981,1.082041
2.171247,8.451372,1.073793
2.165223,8.427373,1.078338
2.159232,8.415181,1.062316
2.153275,8.390971,1.057935
2.147351,8.384254,1.056054
2.14146,8.381716,1.049619
2.135601,8.361278,1.039279
2.129774,8.338426,1.034149
2.123979,8.323009,1.027308
2.118216,8.300235,1.029785
2.112484,8.30097,1.019096
2.106784,8.293786,1.014497
2.101114,8.274145,1.015939
2.095475,8.265051,1.009365
2.089866,8.252055,1.015366
2.084288,8.249558,0.998834
2.078739,8.24051,0.999906
2.07322,8.217602,1.001639
2.067731,8.204609,0.993964
2.062271,8.189543,0.996822
2.056839,8.167619,0.995473
2.051437,8.175283,0.993569
2.046063,8.153714,0.995419
2.040717,8.137845,0.988155
2.0354,8.157164,0.989499
2.03011,8.138413,0.981709
2.024848,8.132674,0.985782
2.019613,8.112382,0.978033
2.014406,8.100838,0.977311
2.009225,8.088432,0.980382
2.004072,8.094949,0.976516
1.998945,8.093187,0.974493
1.993844,8.070383,0.977206
1.98877,8.064933,0.977334
1.983721,8.055043,0.975963
1.978698,8.050025,0.974038
1.973701,8.034244,0.970422
1.96873,8.046941,0.966747
1.963783,8.0356,0.965884
1.958862,8.022879,0.959009
1.953965,8.024981,0.966375
1.949093,8.017161,0.958343
1.944246,8.000377,0.958272
1.939422,8.001156,0.951057
1.934623,7.999888,0.952638
1.929848,7.99194,0.953419
1.925097,7.981231,0.953226
1.920369,7.98167,0.955431
1.915664,7.97683,0.950726
1.910983,7.960948,0.953653
1.906325,7.961765,0.950658
1.901689,7.960815,0.944826
1.897076,7.954491,0.942475
1.892486,7.948818,0.949643
1.887918,7.949582,0.941326
1.883373,7.946334,0.938855
1.87885,7.940747,0.939876
1.874348,7.918797,0.934845
1.869868,7.939134,0.936974
1.86541,7.93028,0.927799
1.860973,7.917836,0.929824
1.856558,7.914052,0.923955
1.852163,7.911994,0.92411
1.84779,7.919216,0.925409
1.843437,7.898386,0.924575
1.839105,7.8944,0.916596
1.834794,7.89283,0.922267
1.830503,7.891946,0.918718
1.826232,7.901973,0.915182
1.821982,7.896198,0.909799
1.817751,7.901219,0.920566
1.81354,7.885398,0.912623
1.809349,7.883849,0.907394
1.805178,7.88122,0.905504
1.801026,7.870971,0.907902
1.796893,7.885907,0.903861
1.792779,7.869926,0.905622
1.788684,7.866796,0.900531
1.784608,7.863906,0.898767
1.780551,7.864303,0.885235
1.776513,7.86294,0.893287
1.772493,7.866268,0.892584
1.768492,7.865014,0.888795
1.764508,7.851755,0.888041
1.760543,7.858404,0.885043
1.756596,7.855092,0.881711
1.752667,7.854972,0.883677
1.748755,7.848525,0.880103
1.744861,7.853727,0.872417
1.740985,7.839643,0.872496
1.737126,7.839803,0.877206
1.733284,7.840262,0.869674
