Energy (eV),Wavelength (nm),e1,e2,n,k
5.867289,211.341217,1,0,1,0
5.82344,212.932571,1,0,1,0
5.780241,214.523956,1,0,1,0
5.737676,216.115387,1,0,1,0
5.695733,217.706833,1,0,1,0
5.654397,219.29834,1,0,1,0
5.613657,220.889862,1,0,1,0
5.573499,222.481415,1,0,1,0
5.533911,224.072998,1,0,1,0
5.49488,225.664627,1,0,1,0
5.456395,227.256271,1,0,1,0
5.418444,228.847977,1,0,1,0
5.381018,230.439667,1,0,1,0
5.344104,232.031418,1,0,1,0
5.307692,233.623199,1,0,1,0
5.271772,235.215012,1,0,1,0
5.236335,236.806839,1,0,1,0
5.201371,238.398712,1,0,1,0
5.166869,239.990601,1,0,1,0
5.132822,241.58252,1,0,1,0
5.09922,243.174469,1,0,1,0
5.066054,244.766434,1,0,1,0
5.033317,246.358429,1,0,1,0
5.000999,247.95047,1,0,1,0
4.969093,249.542511,1,0,1,0
4.937592,251.134598,1,0,1,0
4.906486,252.726685,1,0,1,0
4.87577,254.318817,1,0,1,0
4.845435,255.910965,1,0,1,0
4.815475,257.503143,1,0,1,0
4.785883,259.095337,1,0,1,0
4.756652,260.687561,1,0,1,0
4.727775,262.279816,1,0,1,0
4.699246,263.872101,1,0,1,0
4.67106,265.464386,1,0,1,0
4.643209,267.056702,1,0,1,0
4.615688,268.649017,1,0,1,0
4.588491,270.241364,1,0,1,0
4.561612,271.83374,1,0,1,0
4.535046,273.426117,1,0,1,0
4.508787,275.018555,1,0,1,0
4.48283,276.610992,1,0,1,0
4.45717,278.20343,1,0,1,0
4.431802,279.795898,1,0,1,0
4.406721,281.388367,1,0,1,0
4.381921,282.980896,1,0,1,0
4.357399,284.573425,1,0,1,0
4.33315,286.165955,1,0,1,0
4.309169,287.758484,1,0,1,0
4.285452,289.351044,1,0,1,0
4.261994,290.943665,1,0,1,0
4.238791,292.536224,1,0,1,0
4.215839,294.128845,1,0,1,0
4.193135,295.721497,1,0,1,0
4.170673,297.314117,1,0,1,0
4.148451,298.906769,1,0,1,0
4.126463,300.499451,1,0,1,0
4.104708,302.092102,1,0,1,0
4.083181,303.684814,1,0,1,0
4.061878,305.277527,1,0,1,0
4.040796,306.870239,1,0,1,0
4.019931,308.462952,1,0,1,0
3.999282,310.055695,1,0,1,0
3.978842,311.648438,1,0,1,0
3.958611,313.24118,1,0,1,0
3.938584,314.833954,1,0,1,0
3.918759,316.426727,1,0,1,0
3.899132,318.019501,1,0,1,0
3.8797,319.612305,1,0,1,0
3.860462,321.205109,1,0,1,0
3.841413,322.797913,1,0,1,0
3.822551,324.390686,1,0,1,0
3.803873,325.983521,1,0,1,0
3.785377,327.576355,1,0,1,0
3.76706,329.169189,1,0,1,0
3.748919,330.762024,1,0,1,0
3.730952,332.354858,1,0,1,0
3.713156,333.947693,1,0,1,0
3.695529,335.540558,1,0,1,0
3.678069,337.133392,1,0,1,0
3.660773,338.726257,1,0,1,0
3.643639,340.319092,1,0,1,0
3.626665,341.911957,1,0,1,0
3.609848,343.504822,1,0,1,0
3.593186,345.097687,1,0,1,0
3.576677,346.690552,1,0,1,0
3.560319,348.283386,1,0,1,0
3.54411,349.876282,1,0,1,0
3.528048,351.469147,1,0,1,0
3.512131,353.061981,1,0,1,0
3.496357,354.654846,1,0,1,0
3.480724,356.247742,1,0,1,0
3.46523,357.840576,1,0,1,0
3.449874,359.433411,1,0,1,0
3.434653,361.026306,1,0,1,0
3.419566,362.619141,1,0,1,0
3.404611,364.211975,1,0,1,0
3.389786,365.80484,1,0,1,0
3.375089,367.397675,1,0,1,0
3.36052,368.990509,1,0,1,0
3.346076,370.583313,1,0,1,0
3.331756,372.176147,1,0,1,0
3.317557,373.768982,1,0,1,0
3.303479,375.361786,1,0,1,0
3.289521,376.95459,1,0,1,0
3.27568,378.547394,1,0,1,0
3.261955,380.140198,1,0,1,0
3.248344,381.732971,1,0,1,0
3.234847,383.325745,1,0,1,0
3.221461,384.918518,1,0,1,0
3.208186,386.511261,1,0,1,0
3.19502,388.104004,1,0,1,0
3.181961,389.696747,1,0,1,0
3.169009,391.28949,1,0,1,0
3.156162,392.882202,1,0,1,0
3.143419,394.474915,1,0,1,0
3.130779,396.067596,1,0,1,0
3.11824,397.660278,1,0,1,0
3.1058,399.25296,1,0,1,0
3.09346,400.845612,1,0,1,0
3.081218,402.438232,1,0,1,0
3.069072,404.030884,1,0,1,0
3.057022,405.623474,1,0,1,0
3.045066,407.216095,1,0,1,0
3.033204,408.808655,1,0,1,0
3.021433,410.401276,1,0,1,0
3.009754,411.993805,1,0,1,0
2.998165,413.586334,1,0,1,0
2.986665,415.178864,1,0,1,0
2.975252,416.771393,1,0,1,0
2.963927,418.363861,1,0,1,0
2.952688,419.95636,1,0,1,0
2.941534,421.548767,1,0,1,0
2.930464,423.141205,1,0,1,0
2.919477,424.733643,1,0,1,0
2.908572,426.326019,1,0,1,0
2.897749,427.918396,1,0,1,0
2.887006,429.510803,1,0,1,0
2.876342,431.103119,1,0,1,0
2.865757,432.695404,1,0,1,0
2.85525,434.287689,1,0,1,0
2.84482,435.879974,1,0,1,0
2.834466,437.472229,1,0,1,0
2.824187,439.064453,1,0,1,0
2.813982,440.656677,1,0,1,0
2.803851,442.24884,1,0,1,0
2.793793,443.841003,1,0,1,0
2.783807,445.433167,1,0,1,0
2.773893,447.025238,1,0,1,0
2.764048,448.61734,1,0,1,0
2.754274,450.209381,1,0,1,0
2.744569,451.801422,1,0,1,0
2.734932,453.393402,1,0,1,0
2.725362,454.985413,1,0,1,0
2.71586,456.577332,1,0,1,0
2.706423,458.169281,1,0,1,0
2.697052,459.761169,1,0,1,0
2.687747,461.353027,1,0,1,0
2.678505,462.944885,1,0,1,0
2.669326,464.536713,1,0,1,0
2.660211,466.128479,1,0,1,0
2.651158,467.720215,1,0,1,0
2.642166,469.311951,1,0,1,0
